"Name"	"Measurement 3"
"Description"	""
"Date"	"2/25/2025 2:12:24 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"98"
"Measurement time(s)"	"100"
"Dead time(%)"	"26.30"
"CountRate"	"153894.42"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"2.81"	"15166"
"2.82"	"16770"
"2.83"	"17928"
"2.84"	"18052"
"2.85"	"17416"
"2.86"	"16208"
"2.87"	"14668"
"2.88"	"12820"
"2.89"	"11062"
"2.90"	"9515"
"2.91"	"8664"
"2.92"	"7980"
"2.93"	"8048"
"2.94"	"8104"
"2.95"	"8556"
"2.96"	"9044"
"2.97"	"9289"
"2.98"	"9500"
"2.99"	"9309"
"3.00"	"9030"
"3.01"	"8311"
"3.02"	"7515"
"3.03"	"6611"
"3.04"	"5829"
"3.05"	"5018"
"3.06"	"4220"
"3.07"	"3701"
"3.08"	"3143"
"3.09"	"2823"
"3.10"	"2523"
"3.11"	"2330"
"3.12"	"2251"
"3.13"	"2180"
"3.14"	"2168"
"3.15"	"2189"
"3.16"	"2251"
"3.17"	"2308"
"3.18"	"2350"
"3.19"	"2515"
"3.20"	"2704"
"3.21"	"3154"
"3.22"	"3756"
"3.23"	"4649"
"3.24"	"5981"
"3.25"	"7607"
"3.26"	"9610"
"3.27"	"11612"
"3.28"	"13909"
"3.29"	"15948"
"3.30"	"17257"
"3.31"	"18073"
"3.32"	"18318"
"3.33"	"17747"
"3.34"	"16166"
"3.35"	"13987"
"3.36"	"11968"
"3.37"	"9726"
"3.38"	"7614"
"3.39"	"5763"
"3.40"	"4143"
"3.41"	"3079"
"3.42"	"2212"
"3.43"	"1704"
"3.44"	"1390"
"3.45"	"1161"
"3.46"	"1113"
"3.47"	"1128"
"3.48"	"1212"
"3.49"	"1301"
"3.50"	"1409"
"3.51"	"1636"
"3.52"	"1914"
"3.53"	"2336"
"3.54"	"2757"
"3.55"	"3349"
"3.56"	"3987"
"3.57"	"4973"
"3.58"	"6281"
"3.59"	"7968"
"3.60"	"10048"
"3.61"	"12947"
"3.62"	"16699"
"3.63"	"20983"
"3.64"	"25918"
"3.65"	"31303"
"3.66"	"35860"
"3.67"	"39916"
"3.68"	"43101"
"3.69"	"44109"
"3.70"	"43768"
"3.71"	"41224"
"3.72"	"37289"
"3.73"	"32736"
"3.74"	"27215"
"3.75"	"21510"
"3.76"	"16678"
"3.77"	"12458"
"3.78"	"9056"
"3.79"	"6424"
"3.80"	"4487"
"3.81"	"3079"
"3.82"	"2179"
"3.83"	"1646"
"3.84"	"1326"
"3.85"	"1188"
"3.86"	"1127"
"3.87"	"1086"
"3.88"	"1144"
"3.89"	"1302"
"3.90"	"1454"
"3.91"	"1742"
"3.92"	"2040"
"3.93"	"2460"
"3.94"	"3093"
"3.95"	"3829"
"3.96"	"4471"
"3.97"	"5188"
"3.98"	"5832"
"3.99"	"6464"
"4.00"	"6960"
"4.01"	"7239"
"4.02"	"7293"
"4.03"	"6983"
"4.04"	"6548"
"4.05"	"5811"
"4.06"	"5169"
"4.07"	"4354"
"4.08"	"3590"
"4.09"	"2968"
"4.10"	"2398"
"4.11"	"1982"
"4.12"	"1612"
