"Name"	"Measurement 2"
"Description"	""
"Date"	"2/25/2025 2:05:30 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"111"
"Measurement time(s)"	"100"
"Dead time(%)"	"28.74"
"CountRate"	"154674.2"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"2.81"	"13057"
"2.82"	"14537"
"2.83"	"15573"
"2.84"	"15844"
"2.85"	"15429"
"2.86"	"14695"
"2.87"	"13412"
"2.88"	"11885"
"2.89"	"10359"
"2.90"	"9296"
"2.91"	"8593"
"2.92"	"8356"
"2.93"	"8297"
"2.94"	"8575"
"2.95"	"9183"
"2.96"	"9684"
"2.97"	"10228"
"2.98"	"10423"
"2.99"	"10304"
"3.00"	"10015"
"3.01"	"9314"
"3.02"	"8376"
"3.03"	"7300"
"3.04"	"6494"
"3.05"	"5621"
"3.06"	"4809"
"3.07"	"4167"
"3.08"	"3756"
"3.09"	"3363"
"3.10"	"3039"
"3.11"	"2865"
"3.12"	"2804"
"3.13"	"2779"
"3.14"	"2792"
"3.15"	"2814"
"3.16"	"2784"
"3.17"	"2735"
"3.18"	"2653"
"3.19"	"2560"
"3.20"	"2407"
"3.21"	"2266"
"3.22"	"2118"
"3.23"	"1876"
"3.24"	"1556"
"3.25"	"1476"
"3.26"	"1453"
"3.27"	"1349"
"3.28"	"1307"
"3.29"	"1252"
"3.30"	"1254"
"3.31"	"1219"
"3.32"	"1241"
"3.33"	"1198"
"3.34"	"1140"
"3.35"	"1115"
"3.36"	"1058"
"3.37"	"1011"
"3.38"	"945"
"3.39"	"950"
"3.40"	"912"
"3.41"	"842"
"3.42"	"809"
"3.43"	"806"
"3.44"	"832"
"3.45"	"800"
"3.46"	"835"
"3.47"	"825"
"3.48"	"844"
"3.49"	"918"
"3.50"	"959"
"3.51"	"1061"
"3.52"	"1088"
"3.53"	"1102"
"3.54"	"1215"
"3.55"	"1290"
"3.56"	"1353"
"3.57"	"1442"
"3.58"	"1694"
"3.59"	"1844"
"3.60"	"2179"
"3.61"	"2659"
"3.62"	"3258"
"3.63"	"3940"
"3.64"	"4650"
"3.65"	"5382"
"3.66"	"6149"
"3.67"	"6880"
"3.68"	"7345"
"3.69"	"7506"
"3.70"	"7277"
"3.71"	"6962"
"3.72"	"6443"
"3.73"	"5908"
"3.74"	"5095"
"3.75"	"4272"
"3.76"	"3580"
"3.77"	"2877"
"3.78"	"2437"
"3.79"	"2019"
"3.80"	"1767"
"3.81"	"1509"
"3.82"	"1373"
"3.83"	"1316"
"3.84"	"1246"
"3.85"	"1169"
"3.86"	"1134"
"3.87"	"1135"
"3.88"	"1117"
"3.89"	"1088"
"3.90"	"1069"
"3.91"	"1115"
"3.92"	"1218"
"3.93"	"1231"
"3.94"	"1360"
"3.95"	"1428"
"3.96"	"1470"
"3.97"	"1551"
"3.98"	"1664"
"3.99"	"1802"
"4.00"	"1813"
"4.01"	"1866"
"4.02"	"1970"
"4.03"	"1842"
"4.04"	"1797"
"4.05"	"1728"
"4.06"	"1582"
"4.07"	"1469"
"4.08"	"1347"
"4.09"	"1235"
"4.10"	"1164"
"4.11"	"1108"
"4.12"	"1142"
"4.13"	"1032"
"4.14"	"1009"
"4.15"	"1042"
"4.16"	"1018"
"4.17"	"1019"
"4.18"	"1048"
"4.19"	"1066"
"4.20"	"1064"
"4.21"	"1086"
"4.22"	"1077"
"4.23"	"1054"
"4.24"	"1024"
"4.25"	"1031"
"4.26"	"1065"
"4.27"	"1076"
"4.28"	"1116"
"4.29"	"1135"
"4.30"	"1093"
"4.31"	"1052"
"4.32"	"1094"
"4.33"	"1166"
"4.34"	"1157"
"4.35"	"1157"
"4.36"	"1129"
"4.37"	"1140"
"4.38"	"1138"
"4.39"	"1140"
"4.40"	"1167"
"4.41"	"1198"
"4.42"	"1236"
"4.43"	"1254"
"4.44"	"1228"
"4.45"	"1301"
"4.46"	"1294"
"4.47"	"1334"
"4.48"	"1341"
"4.49"	"1412"
"4.50"	"1406"
"4.51"	"1418"
"4.52"	"1435"
"4.53"	"1430"
"4.54"	"1438"
"4.55"	"1404"
"4.56"	"1383"
"4.57"	"1353"
"4.58"	"1367"
"4.59"	"1413"
"4.60"	"1395"
"4.61"	"1362"
"4.62"	"1348"
"4.63"	"1398"
"4.64"	"1427"
"4.65"	"1519"
"4.66"	"1538"
"4.67"	"1576"
"4.68"	"1622"
"4.69"	"1716"
"4.70"	"1686"
"4.71"	"1733"
"4.72"	"1686"
"4.73"	"1742"
"4.74"	"1752"
"4.75"	"1779"
"4.76"	"1839"
"4.77"	"1831"
"4.78"	"1887"
"4.79"	"1923"
"4.80"	"1952"
"4.81"	"1930"
"4.82"	"1940"
"4.83"	"2015"
"4.84"	"2047"
"4.85"	"2060"
"4.86"	"2118"
"4.87"	"2087"
"4.88"	"2001"
"4.89"	"2194"
"4.90"	"2186"
"4.91"	"2172"
"4.92"	"2153"
"4.93"	"2160"
"4.94"	"2150"
"4.95"	"2195"
"4.96"	"2102"
"4.97"	"2074"
"4.98"	"2099"
"4.99"	"2119"
"5.00"	"2101"
"5.01"	"2061"
"5.02"	"2062"
"5.03"	"2004"
"5.04"	"2013"
"5.05"	"2034"
"5.06"	"2015"
"5.07"	"1986"
"5.08"	"1867"
"5.09"	"1914"
"5.10"	"1880"
"5.11"	"1906"
"5.12"	"1823"
"5.13"	"1784"
"5.14"	"1798"
"5.15"	"1772"
"5.16"	"1778"
"5.17"	"1684"
"5.18"	"1746"
"5.19"	"1688"
"5.20"	"1695"
"5.21"	"1721"
"5.22"	"1661"
"5.23"	"1708"
"5.24"	"1702"
"5.25"	"1737"
"5.26"	"1786"
"5.27"	"1764"
"5.28"	"1809"
"5.29"	"1845"
"5.30"	"1877"
"5.31"	"1869"
"5.32"	"1946"
"5.33"	"1933"
"5.34"	"2036"
"5.35"	"2067"
"5.36"	"2100"
"5.37"	"2119"
"5.38"	"2124"
"5.39"	"2212"
"5.40"	"2201"
"5.41"	"2264"
"5.42"	"2262"
"5.43"	"2274"
"5.44"	"2282"
"5.45"	"2376"
"5.46"	"2437"
"5.47"	"2356"
"5.48"	"2413"
"5.49"	"2344"
"5.50"	"2367"
"5.51"	"2424"
"5.52"	"2420"
"5.53"	"2466"
"5.54"	"2519"
"5.55"	"2531"
"5.56"	"2575"
"5.57"	"2553"
"5.58"	"2663"
"5.59"	"2688"
"5.60"	"2694"
"5.61"	"2769"
"5.62"	"2752"
"5.63"	"2702"
"5.64"	"2727"
"5.65"	"2918"
"5.66"	"2840"
"5.67"	"2695"
"5.68"	"2791"
"5.69"	"2848"
"5.70"	"2906"
"5.71"	"2875"
"5.72"	"2848"
"5.73"	"2841"
"5.74"	"2936"
"5.75"	"2850"
"5.76"	"2874"
"5.77"	"2927"
"5.78"	"2916"
"5.79"	"2932"
"5.80"	"2909"
"5.81"	"2878"
"5.82"	"2832"
"5.83"	"2867"
"5.84"	"2888"
"5.85"	"2909"
"5.86"	"2909"
"5.87"	"2866"
"5.88"	"2886"
"5.89"	"2887"
"5.90"	"2962"
"5.91"	"2951"
"5.92"	"2849"
"5.93"	"2813"
"5.94"	"2812"
"5.95"	"2749"
"5.96"	"2788"
"5.97"	"2769"
"5.98"	"2828"
"5.99"	"2762"
"6.00"	"2806"
"6.01"	"2816"
"6.02"	"2789"
"6.03"	"2806"
"6.04"	"2787"
"6.05"	"2838"
"6.06"	"2830"
"6.07"	"2784"
"6.08"	"2891"
"6.09"	"2937"
"6.10"	"2918"
"6.11"	"2908"
"6.12"	"3007"
"6.13"	"3073"
"6.14"	"3061"
"6.15"	"3103"
"6.16"	"3169"
"6.17"	"3126"
"6.18"	"3153"
"6.19"	"3268"
"6.20"	"3205"
"6.21"	"3228"
"6.22"	"3387"
"6.23"	"3424"
"6.24"	"3552"
"6.25"	"3564"
"6.26"	"3650"
"6.27"	"3774"
"6.28"	"3950"
"6.29"	"4154"
"6.30"	"4463"
"6.31"	"4786"
"6.32"	"4964"
"6.33"	"5297"
"6.34"	"5683"
"6.35"	"6042"
"6.36"	"6397"
"6.37"	"6636"
"6.38"	"6737"
"6.39"	"6821"
"6.40"	"6867"
"6.41"	"6821"
"6.42"	"6655"
"6.43"	"6471"
"6.44"	"6084"
"6.45"	"5852"
"6.46"	"5506"
"6.47"	"5060"
"6.48"	"4808"
"6.49"	"4652"
"6.50"	"4264"
"6.51"	"4026"
"6.52"	"3875"
"6.53"	"3829"
"6.54"	"3703"
"6.55"	"3621"
"6.56"	"3638"
"6.57"	"3524"
"6.58"	"3517"
"6.59"	"3551"
"6.60"	"3482"
"6.61"	"3403"
"6.62"	"3365"
"6.63"	"3437"
"6.64"	"3442"
"6.65"	"3426"
"6.66"	"3415"
"6.67"	"3443"
"6.68"	"3453"
"6.69"	"3380"
